Alegría-Dulantzi;1.401
Amurrio;9.720
Aramaio;1.416
Artziniega;1.338
Armiñón;146
Arrazua-Ubarrundia;726
Asparrena;1.578
Ayala/Aiara;2.064
Baños de Ebro/Mañueta;328
Barrundia;610
Berantevilla;430
Bernedo;547
Campezo/Kanpezu;1.060
Zigoitia;1.242
Kripan;188
Kuartango;374
Elburgo/Burgelu;319
Elciego;925
Elvillar/Bilar;363
Iruraiz-Gauna;431
Labastida;1.243
Lagrán;202
Laguardia;1.412
Lanciego/Lantziego;652
Lapuebla de Labarca;865
Leza;208
Llodio;19.260
Arraia-Maeztu;698
Moreda de Álava;290
Navaridas;209
Okondo;832
Oyón/Oion;2.328
Peñacerrada-Urizaharra;251
Ribera Alta;543
Ribera Baja/Erribera Beitia;596
Añana;190
Salvatierra o Agurain;4.014
Samaniego;312
San Millán/Donemiliaga;689
Urkabustaiz;871
Valdegovía;929
Harana/Valle de Arana;348
Villabuena de Álava/Eskuernaga;335
Legutiano;1.377
Vitoria-Gasteiz;217.358
Yécora;265
Zalduondo;138
Zambrana;364
Zuia;1.725
Iruña Oka/Iruña de Oca;1.823
Lantarón;964
