Abadiño;6.851
Abanto y Ciérvana/Abanto Zierbena;8.989
Amorebieta-Etxano;16.216
Amoroto;365
Arakaldo;90
Arantzazu;276
Munitibar-Arbatzegi Gerrikaitz;383
Arcentales;679
Arrankudiaga;745
Arrieta;509
Arrigorriaga;10.662
Bakio;1.614
Barakaldo;97.281
Barrika;1.159
Basauri;47.036
Berango;4.929
Bermeo;16.972
Berriatua;940
Berriz;4.139
Bilbao;354.271
Busturia;1.673
Carranza;2.998
Artea;641
Zeanuri;1.154
Zeberio;959
Dima;1.055
Durango;24.742
Ea;814
Etxebarri, Anteiglesia de San Esteban/Etxebarri Doneztebeko Elizatea;6.690
Etxebarria;808
Elantxobe;466
Elorrio;7.166
Ereño;255
Ermua;17.140
Fruiz;341
Galdakao;29.387
Galdames;805
Gamiz-Fika;1.138
Garay;241
Gatika;1.217
Gautegiz Arteaga;834
Gordexola;1.437
Gorliz;4.179
Getxo;83.789
Güeñes;5.896
Gernika-Lumo;15.427
Guizaburuaga;140
Ibarrangelu;522
Ispaster;613
Izurtza;262
Lanestosa;287
Larrabetzu;1.537
Laukiz;958
Leioa;27.925
Lemoa;2.544
Lemoiz;882
Lekeitio;7.423
Mallabia;1.119
Mañaria;465
Markina-Xemein;4.661
Maruri-Jatabe;630
Mendata;335
Mendexa;338
Meñaka;514
Ugao-Miraballes;4.122
Morga;398
Muxika;1.361
Mundaka;1.806
Mungia;13.647
Aulesti;651
Muskiz;6.208
Otxandio;1.010
Ondarroa;9.925
Orduña;3.916
Orozko;2.031
Sukarrieta;313
Plentzia;3.556
Portugalete;52.681
Errigoiti;464
Valle de Trápaga-Trapagaran;12.450
Lezama;2.124
Santurtzi;47.999
Ortuella;8.819
Sestao;32.852
Sopelana;10.097
Sopuerta;2.237
Trucios-Turtzioz;546
Ubide;171
Urduliz;2.999
Balmaseda;7.007
Atxondo;1.461
Bedia;950
Areatza;1.044
Igorre;3.917
Zaldibar;2.896
Zalla;7.725
Zaratamo;1.662
Derio;4.700
Erandio;22.853
Loiu;1.885
Sondika;3.929
Zamudio;2.900
Forua;979
Kortezubi;387
Murueta;223
Nabarniz;231
Iurreta;4.310
Ajangiz;418
Alonsotegi;2.760
Zierbena;1.206
Arratzu;390
