Abenójar;1.762
Agudo;2.097
Alamillo;723
Albaladejo;1.641
Alcázar de San Juan;26.150
Alcoba;769
Alcolea de Calatrava;1.656
Alcubillas;680
Aldea del Rey;2.186
Alhambra;1.259
Almadén;7.152
Almadenejos;579
Almagro;8.262
Almedina;760
Almodóvar del Campo;7.452
Almuradiel;978
Anchuras;450
Arenas de San Juan;1.083
Argamasilla de Alba;6.710
Argamasilla de Calatrava;5.369
Arroba de los Montes;627
Ballesteros de Calatrava;575
Bolaños de Calatrava;10.679
Brazatortas;1.241
Cabezarados;387
Cabezarrubias del Puerto;636
Calzada de Calatrava;4.687
Campo de Criptana;13.042
Cañada de Calatrava;82
Caracuel de Calatrava;176
Carrión de Calatrava;2.633
Carrizosa;1.692
Castellar de Santiago;2.220
Ciudad Real;60.243
Corral de Calatrava;1.306
Cortijos (Los);1.090
Cózar;1.296
Chillón;2.347
Daimiel;17.276
Fernancaballero;1.042
Fontanarejo;363
Fuencaliente;1.304
Fuenllana;328
Fuente el Fresno;3.508
Granátula de Calatrava;1.002
Guadalmez;1.075
Herencia;7.023
Hinojosas de Calatrava;762
Horcajo de los Montes;1.097
Labores (Las);704
Luciana;444
Malagón;7.955
Manzanares;17.216
Membrilla;6.609
Mestanza;917
Miguelturra;9.863
Montiel;1.673
Moral de Calatrava;5.218
Navalpino;311
Navas de Estena;410
Pedro Muñoz;7.186
Picón;661
Piedrabuena;4.888
Poblete;806
Porzuna;3.919
Pozuelo de Calatrava;2.545
Pozuelos de Calatrava (Los);572
Puebla de Don Rodrigo;1.318
Puebla del Príncipe;1.080
Puerto Lápice;1.037
Puertollano;50.212
Retuerta del Bullaque;1.019
Saceruela;774
San Carlos del Valle;1.241
San Lorenzo de Calatrava;321
Santa Cruz de los Cáñamos;654
Santa Cruz de Mudela;4.830
Socuéllamos;11.228
Solana (La);15.066
Solana del Pino;554
Terrinches;970
Tomelloso;29.284
Torralba de Calatrava;2.899
Torre de Juan Abad;1.406
Torrenueva;3.271
Valdemanco del Esteras;310
Valdepeñas;26.395
Valenzuela de Calatrava;798
Villahermosa;2.628
Villamanrique;1.672
Villamayor de Calatrava;639
Villanueva de la Fuente;2.648
Villanueva de los Infantes;5.805
Villanueva de San Carlos;460
Villar del Pozo;106
Villarrubia de los Ojos;9.583
Villarta de San Juan;2.970
Viso del Marqués;3.041
Robledo (El);1.119
Ruidera;594
Arenales de San Gregorio;629
Llanos del Caudillo;718
