Abadía;276
Abertura;511
Acebo;806
Acehuche;944
Aceituna;709
Ahigal;1.564
Albalá del Caudillo;850
Alcántara;1.650
Alcollarín;348
Alcuéscar;3.131
Aldeacentenera;927
Aldea del Cano;801
Aldea del Obispo (La);395
Aldeanueva de la Vera;2.462
Aldeanueva del Camino;785
Aldehuela de Jerte;380
Alía;1.373
Aliseda;2.265
Almaraz;1.557
Almoharín;2.141
Arroyo de la Luz;6.515
Arroyomolinos de la Vera;583
Arroyomolinos;1.184
Baños de Montemayor;695
Barrado;527
Belvís de Monroy;604
Benquerencia;106
Berrocalejo;120
Berzocana;607
Bohonal de Ibor;580
Botija;178
Brozas;2.328
Cabañas del Castillo;550
Cabezabellosa;523
Cabezuela del Valle;2.382
Cabrero;445
Cáceres;82.235
Cachorrilla;105
Cadalso;585
Calzadilla;593
Caminomorisco;1.228
Campillo de Deleitosa;132
Campo Lugar;1.232
Cañamero;1.981
Cañaveral;1.449
Carbajo;280
Carcaboso;1.098
Carrascalejo;423
Casar de Cáceres;4.716
Casar de Palomero;1.338
Casares de las Hurdes;728
Casas de Don Antonio;238
Casas de Don Gómez;343
Casas del Castañar;693
Casas del Monte;891
Casas de Millán;809
Casas de Miravete;182
Casatejada;1.319
Casillas de Coria;540
Castañar de Ibor;1.354
Ceclavín;2.228
Cedillo;543
Cerezo;228
Cilleros;2.156
Collado;231
Conquista de la Sierra;193
Coria;12.540
Cuacos de Yuste;957
Cumbre (La);1.161
Deleitosa;898
Descargamaría;288
Eljas;1.230
Escurial;914
Fresnedoso de Ibor;366
Galisteo;1.985
Garciaz;1.038
Garganta (La);601
Garganta la Olla;1.040
Gargantilla;495
Gargüera;193
Garrovillas;2.509
Garvín;127
Gata;1.893
Gordo (El);312
Granja (La);415
Guadalupe;2.365
Guijo de Coria;291
Guijo de Galisteo;1.830
Guijo de Granadilla;731
Guijo de Santa Bárbara;489
Herguijuela;436
Hernán-Pérez;497
Herrera de Alcántara;309
Herreruela;470
Hervás;3.839
Higuera;111
Hinojal;425
Holguera;813
Hoyos;978
Huélaga;208
Ibahernando;727
Jaraicejo;724
Jaraíz de la Vera;6.479
Jarandilla de la Vera;3.103
Jarilla;190
Jerte;1.302
Ladrillar;314
Logrosán;2.492
Losar de la Vera;3.094
Madrigal de la Vera;1.677
Madrigalejo;2.237
Madroñera;3.127
Majadas;1.255
Malpartida de Cáceres;4.338
Malpartida de Plasencia;4.119
Marchagaz;322
Mata de Alcántara;387
Membrío;873
Mesas de Ibor;211
Miajadas;9.315
Millanes;196
Mirabel;812
Mohedas de Granadilla;1.122
Monroy;1.059
Montánchez;2.157
Montehermoso;5.356
Moraleja;7.958
Morcillo;484
Navaconcejo;2.035
Navalmoral de la Mata;14.838
Navalvillar de Ibor;515
Navas del Madroño;1.536
Navezuelas;731
Nuñomoral;1.760
Oliva de Plasencia;302
Palomero;540
Pasarón de la Vera;701
Pedroso de Acim;140
Peraleda de la Mata;1.372
Peraleda de San Román;412
Perales del Puerto;993
Pescueza;205
Pesga (La);1.217
Piedras Albas;210
Pinofranqueado;1.693
Piornal;1.566
Plasencia;37.018
Plasenzuela;551
Portaje;407
Portezuelo;312
Pozuelo de Zarzón;624
Puerto de Santa Cruz;427
Rebollar;246
Riolobos;1.506
Robledillo de Gata;175
Robledillo de la Vera;327
Robledillo de Trujillo;498
Robledollano;430
Romangordo;185
Ruanes;108
Salorino;796
Salvatierra de Santiago;423
San Martín de Trevejo;998
Santa Ana;336
Santa Cruz de la Sierra;366
Santa Cruz de Paniagua;450
Santa Marta de Magasca;373
Santiago de Alcántara;751
Santiago del Campo;314
Santibáñez el Alto;563
Santibáñez el Bajo;1.027
Saucedilla;614
Segura de Toro;205
Serradilla;1.919
Serrejón;496
Sierra de Fuentes;1.656
Talaván;1.012
Talaveruela de la Vera;458
Talayuela;9.444
Tejeda de Tiétar;1.026
Toril;198
Tornavacas;1.328
Torno (El);941
Torrecilla de los Ángeles;733
Torrecillas de la Tiesa;1.185
Torre de Don Miguel;671
Torre de Santa María;739
Torrejoncillo;3.557
Torrejón el Rubio;704
Torremenga;543
Torremocha;1.277
Torreorgaz;1.665
Torrequemada;586
Trujillo;8.713
Valdastillas;401
Valdecañas de Tajo;284
Valdefuentes;1.555
Valdehúncar;214
Valdelacasa de Tajo;539
Valdemorales;273
Valdeobispo;800
Valencia de Alcántara;6.240
Valverde de la Vera;560
Valverde del Fresno;2.651
Viandar de la Vera;323
Villa del Campo;679
Villa del Rey;181
Villamesías;370
Villamiel;691
Villanueva de la Sierra;616
Villanueva de la Vera;2.006
Villar del Pedroso;813
Villar de Plasencia;275
Villasbuenas de Gata;504
Zarza de Granadilla;1.784
Zarza de Montánchez;618
Zarza la Mayor;1.712
Zorita;1.987
Rosalejo;1.766
