Abaltzisketa;258
Aduna;315
Aizarnazabal;534
Albiztur;291
Alegia;1.595
Alkiza;254
Altzo;331
Amezketa;989
Andoain;14.153
Anoeta;1.707
Antzuola;1.896
Arama;167
Aretxabaleta;6.101
Asteasu;1.187
Ataun;1.558
Aia;1.650
Azkoitia;10.192
Azpeitia;13.657
Beasain;12.134
Beizama;160
Belauntza;321
Berastegi;977
Berrobi;553
Bidegoyan;417
Zegama;1.276
Zerain;246
Zestoa;3.140
Zizurkil;2.843
Deba;5.092
Eibar;28.942
Elduain;193
Elgoibar;10.702
Elgeta;968
Eskoriatza;3.943
Ezkio-Itsaso;555
Hondarribia;14.863
Gaintza;133
Gabiria;430
Getaria;2.436
Hernani;18.698
Hernialde;289
Ibarra;4.334
Idiazabal;2.038
Ikaztegieta;382
Irun;56.515
Irura;749
Itsasondo;588
Larraul;147
Lazkao;4.876
Leaburu;351
Legazpi;8.958
Legorreta;1.399
Lezo;5.799
Lizartza;592
Arrasate o Mondragón;23.718
Mutriku;4.790
Mutiloa;165
Olaberria;923
Oñati;10.717
Orexa;81
Orio;4.388
Ormaiztegi;1.159
Oiartzun;9.185
Pasaia;16.776
Soraluze/Placencia de las Armas;4.270
Errezil;631
Errenteria;39.200
Leintz-Gatzaga;258
Donostia-San Sebastián;180.277
Segura;1.247
Tolosa;18.076
Urnieta;5.488
Usurbil;5.292
Bergara;15.089
Villabona;5.531
Ordizia;9.089
Urretxu;6.428
Zaldibia;1.525
Zarautz;20.638
Zumarraga;10.300
Zumaia;8.392
Mendaro;1.378
Lasarte-Oria;17.561
Astigarraga;3.435
Baliarrain;88
Orendain;146
Altzaga;98
Gaztelu;157
