Agrón;392
Alamedilla;898
Albolote;13.048
Albondón;996
Albuñán;474
Albuñol;5.462
Albuñuelas;1.215
Aldeire;785
Alfacar;4.300
Algarinejo;5.269
Alhama de Granada;5.927
Alhendín;4.224
Alicún de Ortega;672
Almegíjar;427
Almuñécar;21.275
Alquife;897
Arenas del Rey;1.979
Armilla;14.030
Atarfe;10.975
Baza;20.818
Beas de Granada;968
Beas de Guadix;375
Benalúa;3.241
Benalúa de las Villas;1.450
Benamaurel;2.410
Bérchules;789
Bubión;378
Busquístar;363
Cacín;796
Cádiar;1.588
Cájar;3.239
Calicasas;586
Campotéjar;1.444
Caniles;4.886
Cáñar;340
Capileira;524
Carataunas;196
Cástaras;291
Castilléjar;1.760
Castril;2.883
Cenes de la Vega;5.193
Cijuela;1.537
Cogollos de Guadix;746
Cogollos de la Vega;1.972
Colomera;1.610
Cortes de Baza;2.717
Cortes y Graena;1.073
Cúllar;4.836
Cúllar Vega;3.499
Chauchina;4.124
Chimeneas;1.518
Churriana de la Vega;7.056
Darro;1.488
Dehesas de Guadix;641
Deifontes;2.369
Diezma;907
Dílar;1.474
Dólar;613
Dúdar;272
Dúrcal;5.571
Escúzar;828
Ferreira;361
Fonelas;1.187
Freila;962
Fuente Vaqueros;3.960
Galera;1.309
Gobernador;356
Gójar;3.584
Gor;1.158
Gorafe;557
Granada;244.486
Guadahortuna;2.262
Guadix;19.542
Gualchos;2.970
Güejar Sierra;2.702
Güevéjar;1.549
Huélago;561
Huéneja;1.220
Huéscar;8.065
Huétor de Santillán;1.645
Huétor Tájar;8.206
Huétor Vega;8.870
Illora;10.495
Itrabo;1.021
Iznalloz;6.964
Jayena;1.342
Jerez del Marquesado;1.106
Jete;765
Jun;1.779
Juviles;177
Calahorra (La);888
Láchar;2.426
Lanjarón;3.802
Lanteira;599
Lecrín;2.293
Lentegí;343
Lobras;173
Loja;19.701
Lugros;406
Lújar;535
Malahá (La);1.658
Maracena;14.651
Marchal;405
Moclín;4.436
Molvízar;2.722
Monachil;5.199
Montefrío;6.794
Montejícar;2.825
Montillana;1.378
Moraleda de Zafayona;2.736
Motril;50.172
Murtas;797
Nigüelas;1.100
Nívar;663
Ogíjares;8.798
Orce;1.440
Órgiva;5.035
Otívar;1.043
Otura;4.306
Padul;6.766
Pampaneira;345
Pedro Martínez;1.373
Peligros;7.401
Peza (La);1.433
Pinos Genil;1.181
Pinos Puente;13.368
Píñar;1.329
Polícar;296
Polopos;1.225
Pórtugos;451
Puebla de Don Fadrique;2.478
Pulianas;3.973
Purullena;2.427
Quéntar;1.086
Rubite;389
Salar;2.781
Salobreña;10.168
Santa Cruz del Comercio;539
Santa Fe;12.730
Soportújar;268
Sorvilán;633
Torre-Cardela;1.176
Torvizcón;916
Trevélez;762
Turón;359
Ugíjar;2.464
Válor;921
Vélez de Benaudalla;2.467
Ventas de Huelma;653
Villanueva de las Torres;903
Villanueva Mesía;1.954
Víznar;745
Zafarraya;2.176
Zubia (La);12.850
Zújar;2.752
Taha (La);789
Valle (El);1.283
Nevada;1.375
Alpujarra de la Sierra;1.191
Gabias (Las);8.577
Guajares (Los);1.292
Valle del Zalabí;2.320
Villamena;995
Morelábor;942
Pinar (El);1.198
Vegas del Genil;2.893
Cuevas del Campo;2.161
Zagra;1.151
