Acebedo;284
Algadefe;371
Alija del Infantado;962
Almanza;733
Antigua (La);625
Ardón;683
Arganza;959
Astorga;12.377
Balboa;460
Bañeza (La);10.404
Barjas;403
Barrios de Luna (Los);347
Bembibre;10.734
Benavides;3.046
Benuza;930
Bercianos del Páramo;861
Bercianos del Real Camino;221
Berlanga del Bierzo;429
Boca de Huérgano;600
Boñar;2.592
Borrenes;510
Brazuelo;347
Burgo Ranero (El);960
Burón;404
Bustillo del Páramo;1.884
Cabañas Raras;1.320
Cabreros del Río;602
Cabrillanes;1.139
Cacabelos;4.868
Calzada del Coto;303
Campazas;163
Campo de Villavidel;345
Camponaraya;3.209
Candín;444
Cármenes;437
Carracedelo;3.552
Carrizo;2.735
Carrocera;616
Carucedo;665
Castilfalé;105
Castrillo de Cabrera;191
Castrillo de la Valduerna;238
Castrocalbón;1.370
Castrocontrigo;1.186
Castropodame;1.921
Castrotierra de Valmadrigal;155
Cea;744
Cebanico;250
Cebrones del Río;702
Cimanes de la Vega;688
Cimanes del Tejar;1.011
Cistierna;4.418
Congosto;1.734
Corbillos de los Oteros;295
Corullón;1.211
Crémenes;1.098
Cuadros;1.676
Cubillas de los Oteros;214
Cubillas de Rueda;640
Cubillos del Sil;1.520
Chozas de Abajo;2.144
Destriana;854
Encinedo;1.037
Ercina (La);718
Escobar de Campos;77
Fabero;5.924
Folgoso de la Ribera;1.364
Fresno de la Vega;693
Fuentes de Carbajal;136
Garrafe de Torío;1.191
Gordaliza del Pino;353
Gordoncillo;625
Gradefes;1.342
Grajal de Campos;306
Gusendos de los Oteros;213
Hospital de Órbigo;1.127
Igüeña;1.950
Izagre;266
Joarilla de las Matas;439
Laguna Dalga;916
Laguna de Negrillos;1.537
León;138.006
Lucillo;530
Luyego;1.006
Llamas de la Ribera;1.214
Magaz de Cepeda;518
Mansilla de las Mulas;1.756
Mansilla Mayor;424
Maraña;181
Matadeón de los Oteros;305
Matallana de Torío;1.691
Matanza;297
Molinaseca;783
Murias de Paredes;657
Noceda;936
Oencia;531
Omañas (Las);446
Onzonilla;1.440
Oseja de Sajambre;360
Pajares de los Oteros;362
Palacios de la Valduerna;549
Palacios del Sil;1.470
Páramo del Sil;1.831
Peranzanes;344
Pobladura de Pelayo García;584
Pola de Gordón (La);4.974
Ponferrada;62.642
Posada de Valdeón;490
Pozuelo del Páramo;642
Prado de la Guzpeña;168
Priaranza del Bierzo;974
Prioro;461
Puebla de Lillo;733
Puente de Domingo Flórez;1.985
Quintana del Castillo;1.133
Quintana del Marco;541
Quintana y Congosto;814
Regueras de Arriba;404
Reyero;156
Riaño;627
Riego de la Vega;1.144
Riello;977
Rioseco de Tapia;566
Robla (La);5.035
Roperuelos del Páramo;823
Sabero;1.876
Sahagún;3.112
San Adrián del Valle;159
San Andrés del Rabanedo;24.212
Sancedo;593
San Cristóbal de la Polantera;1.091
San Emiliano;911
San Esteban de Nogales;358
San Justo de la Vega;2.289
San Millán de los Caballeros;193
San Pedro Bercianos;389
Santa Colomba de Curueño;634
Santa Colomba de Somoza;464
Santa Cristina de Valmadrigal;366
Santa Elena de Jamuz;1.401
Santa María de la Isla;705
Santa María del Monte de Cea;398
Santa María del Páramo;3.173
Santa María de Ordás;431
Santa Marina del Rey;2.594
Santas Martas;1.014
Santiago Millas;351
Santovenia de la Valdoncina;1.698
Sariegos;2.230
Sena de Luna;499
Sobrado;559
Soto de la Vega;1.999
Soto y Amío;1.074
Toral de los Guzmanes;697
Toreno;4.330
Torre del Bierzo;3.165
Trabadelo;565
Truchas;777
Turcia;1.322
Urdiales del Páramo;719
Valdefresno;1.761
Valdefuentes del Páramo;441
Valdelugueros;442
Valdemora;126
Valdepiélago;435
Valdepolo;1.611
Valderas;2.174
Valderrey;649
Valderrueda;1.278
Valdesamario;278
Val de San Lorenzo;767
Valdevimbre;1.208
Valencia de Don Juan;4.064
Valverde de la Virgen;4.152
Valverde-Enrique;219
Vallecillo;171
Vecilla (La);422
Vegacervera;376
Vega de Espinareda;2.960
Vega de Infanzones;892
Vega de Valcarce;874
Vegaquemada;548
Vegas del Condado;1.392
Villablino;14.169
Villabraz;152
Villadangos del Páramo;1.024
Villadecanes;2.325
Villademor de la Vega;465
Villafranca del Bierzo;3.807
Villagatón;872
Villamandos;435
Villamañán;1.437
Villamartín de Don Sancho;194
Villamejil;993
Villamol;252
Villamontán de la Valduerna;1.109
Villamoratiel de las Matas;185
Villanueva de las Manzanas;608
Villaobispo de Otero;718
Villaquejida;1.086
Villaquilambre;8.070
Villarejo de Órbigo;3.434
Villares de Órbigo;953
Villasabariego;1.239
Villaselán;321
Villaturiel;1.813
Villazala;1.052
Villazanzo de Valderaduey;721
Zotes del Páramo;665
Villamanín;1.301
Villaornate y Castro;554
