Adeje;14.007
Agulo;1.143
Alajeró;1.343
Arafo;4.802
Arico;5.644
Arona;38.416
Barlovento;2.398
Breña Alta;5.898
Breña Baja;4.051
Buenavista del Norte;5.140
Candelaria;13.294
Fasnia;2.554
Frontera;4.892
Fuencaliente de la Palma;1.800
Garachico;5.492
Garafía;2.007
Granadilla de Abona;20.323
Guancha (La);5.269
Guía de Isora;14.674
Güímar;14.646
Hermigua;2.131
Icod de los Vinos;19.977
San Cristóbal de La Laguna;126.543
Llanos de Aridane (Los);18.190
Matanza de Acentejo (La);7.000
Orotava (La);38.348
Paso (El);7.289
Puerto de la Cruz;24.988
Puntagorda;1.785
Puntallana;2.204
Realejos (Los);34.147
Rosario (El);12.696
San Andrés y Sauces;5.229
San Juan de la Rambla;4.345
San Miguel de Abona;7.315
San Sebastián de la Gomera;7.001
Santa Cruz de la Palma;18.204
Santa Cruz de Tenerife;215.132
Santa Úrsula;10.529
Santiago del Teide;8.863
Sauzal (El);7.443
Silos (Los);5.066
Tacoronte;20.800
Tanque (El);3.000
Tazacorte;6.147
Tegueste;9.226
Tijarafe;2.672
Valverde;3.641
Valle Gran Rey;4.002
Vallehermoso;2.680
Victoria de Acentejo (La);8.052
Vilaflor;1.634
Villa de Mazo;4.609
