Abades;848
Adrada de Pirón;60
Adrados;212
Aguilafuente;802
Alconada de Maderuelo;55
Aldealcorvo;30
Aldealengua de Pedraza;92
Aldealengua de Santa María;90
Aldeanueva de la Serrezuela;49
Aldeanueva del Codonal;212
Aldea Real;390
Aldeasoña;106
Aldehorno;81
Aldehuela del Codonal;53
Aldeonte;91
Anaya;132
Añe;121
Arahuetes;45
Arcones;248
Arevalillo de Cega;44
Armuña;261
Ayllón;1.216
Barbolla;221
Basardilla;100
Bercial;131
Bercimuel;88
Bernardos;712
Bernuy de Porreros;309
Boceguillas;553
Brieva;71
Caballar;96
Cabañas de Polendos;117
Cabezuela;721
Calabazas de Fuentidueña;76
Campo de San Pedro;385
Cantalejo;3.463
Cantimpalos;1.275
Carbonero el Mayor;2.299
Carrascal del Río;210
Casla;155
Castillejo de Mesleón;120
Castro de Fuentidueña;91
Castrojimeno;45
Castroserna de Abajo;63
Castroserracín;67
Cedillo de la Torre;124
Cerezo de Abajo;170
Cerezo de Arriba;201
Cilleruelo de San Mamés;48
Cobos de Fuentidueña;68
Coca;1.968
Codorniz;471
Collado Hermoso;152
Condado de Castilnovo;124
Corral de Ayllón;109
Cubillo;55
Cuéllar;9.044
Chañe;720
Domingo García;49
Donhierro;105
Duruelo;136
Encinas;72
Encinillas;75
Escalona del Prado;589
Escarabajosa de Cabezas;380
Escobar de Polendos;234
Espinar (El);6.225
Espirdo;215
Fresneda de Cuéllar;246
Fresno de Cantespino;249
Fresno de la Fuente;78
Frumales;201
Fuente de Santa Cruz;194
Fuente el Olmo de Fuentidueña;146
Fuente el Olmo de Íscar;106
Fuentepelayo;953
Fuentepiñel;181
Fuenterrebollo;447
Fuentesaúco de Fuentidueña;325
Fuentesoto;172
Fuentidueña;181
Gallegos;110
Garcillán;359
Gomezserracín;662
Grajera;97
Honrubia de la Cuesta;74
Hontalbilla;429
Hontanares de Eresma;165
Huertos (Los);166
Ituero y Lama;82
Juarros de Riomoros;76
Juarros de Voltoya;309
Labajos;157
Laguna de Contreras;176
Languilla;125
Lastras de Cuéllar;555
Lastras del Pozo;83
Lastrilla (La);1.716
Losa (La);366
Maderuelo;163
Marazuela;82
Martín Miguel;201
Martín Muñoz de la Dehesa;188
Martín Muñoz de las Posadas;493
Marugán;319
Matabuena;216
Mata de Cuéllar;327
Matilla (La);116
Melque de Cercos;119
Membibre de la Hoz;75
Migueláñez;179
Montejo de Arévalo;294
Montejo de la Vega de la Serrezuela;178
Monterrubio;66
Moral de Hornuez;105
Mozoncillo;1.019
Muñopedro;387
Muñoveros;194
Nava de la Asunción;2.621
Navafría;368
Navalilla;150
Navalmanzano;1.127
Navares de Ayuso;86
Navares de Enmedio;155
Navares de las Cuevas;22
Navas de Oro;1.460
Navas de San Antonio;285
Nieva;379
Olombrada;813
Orejana;115
Ortigosa de Pestaño;87
Otero de Herreros;862
Pajarejos;46
Palazuelos de Eresma;3.123
Pedraza;467
Pelayos del Arroyo;45
Perosillo;32
Pinarejos;197
Pinarnegrillo;192
Pradales;73
Prádena;565
Puebla de Pedraza;90
Rapariegos;268
Rebollo;132
Remondo;368
Riaguas de San Bartolomé;95
Riaza;1.680
Ribota;40
Riofrío de Riaza;50
Roda de Eresma;111
Sacramenia;560
Samboal;590
San Cristóbal de Cuéllar;222
San Cristóbal de la Vega;161
Sanchonuño;738
Sangarcía;471
San Ildefonso;5.144
San Martín y Mudrián;284
San Miguel de Bernuy;175
San Pedro de Gaíllos;344
Santa María la Real de Nieva;1.439
Santa Marta del Cerro;51
Santiuste de Pedraza;102
Santiuste de San Juan Bautista;775
Santo Domingo de Pirón;65
Santo Tomé del Puerto;328
Sauquillo de Cabezas;245
Sebúlcor;279
Segovia;54.034
Sepúlveda;1.318
Sequera de Fresno;51
Sotillo;42
Sotosalbos;124
Tabanera la Luenga;67
Tolocirio;62
Torreadrada;135
Torrecaballeros;518
Torrecilla del Pinar;318
Torreiglesias;397
Torre Val de San Pedro;191
Trescasas;328
Turégano;1.078
Urueñas;122
Valdeprados;63
Valdevacas de Montejo;33
Valdevacas y Guijar;147
Valseca;294
Valtiendas;194
Valverde del Majano;501
Valle de Tabladillo;161
Vallelado;839
Valleruela de Pedraza;75
Valleruela de Sepúlveda;75
Veganzones;286
Vegas de Matute;242
Ventosilla y Tejadilla;28
Villacastín;1.506
Villaverde de Íscar;722
Villaverde de Montejo;67
Villeguillo;176
Yanguas de Eresma;190
Zarzuela del Monte;531
Zarzuela del Pinar;602
Ortigosa del Monte;335
Cozuelos de Fuentidueña;193
Marazoleja;151
Navas de Riofrío;282
Cuevas de Provanco;211
