Abejar;359
Adradas;98
Ágreda;3.260
Alconaba;179
Alcubilla de Avellaneda;228
Alcubilla de las Peñas;103
Aldealafuente;153
Aldealices;33
Aldealpozo;31
Aldealseñor;51
Aldehuela de Periáñez;43
Aldehuelas (Las);120
Alentisque;43
Aliud;38
Almajano;177
Almaluez;303
Almarza;615
Almazán;5.795
Almazul;167
Almenar de Soria;387
Alpanseque;105
Arancón;118
Arcos de Jalón;1.856
Arenillas;44
Arévalo de la Sierra;102
Ausejo de la Sierra;61
Baraona;232
Barca;139
Barcones;46
Bayubas de Abajo;278
Bayubas de Arriba;81
Beratón;34
Berlanga de Duero;1.148
Blacos;61
Bliecos;57
Borjabad;61
Borobia;381
Buberos;49
Buitrago;55
Burgo de Osma-Ciudad de Osma;4.966
Cabrejas del Campo;87
Cabrejas del Pinar;466
Calatañazor;75
Caltojar;124
Candilichera;235
Cañamaque;45
Carabantes;37
Caracena;23
Carrascosa de Abajo;39
Carrascosa de la Sierra;14
Casarejos;258
Castilfrío de la Sierra;29
Castilruiz;323
Castillejo de Robledo;193
Centenera de Andaluz;29
Cerbón;50
Cidones;341
Cigudosa;76
Cihuela;105
Ciria;112
Cirujales del Río;41
Coscurita;141
Covaleda;2.043
Cubilla;73
Cubo de la Solana;250
Cueva de Ágreda;101
Dévanos;133
Deza;388
Duruelo de la Sierra;1.452
Escobosa de Almazán;41
Espeja de San Marcelino;259
Espejón;225
Estepa de San Juan;15
Frechilla de Almazán;49
Fresno de Caracena;55
Fuentearmegil;343
Fuentecambrón;76
Fuentecantos;53
Fuentelmonge;139
Fuentelsaz de Soria;60
Fuentepinilla;154
Fuentes de Magaña;99
Fuentestrún;77
Garray;431
Golmayo;765
Gómara;477
Gormaz;17
Herrera de Soria;23
Hinojosa del Campo;48
Langa de Duero;932
Liceras;62
Losilla (La);20
Magaña;103
Maján;18
Matalebreras;121
Matamala de Almazán;403
Medinaceli;701
Miño de Medinaceli;114
Miño de San Esteban;94
Molinos de Duero;192
Momblona;40
Monteagudo de las Vicarías;304
Montejo de Tiermes;251
Montenegro de Cameros;113
Morón de Almazán;281
Muriel de la Fuente;84
Muriel Viejo;79
Nafría de Ucero;86
Narros;52
Navaleno;959
Nepas;87
Nolay;95
Noviercas;242
Ólvega;3.298
Oncala;106
Pinilla del Campo;24
Portillo de Soria;21
Póveda de Soria (La);121
Pozalmuro;108
Quintana Redonda;568
Quintanas de Gormaz;199
Quiñonería;15
Rábanos (Los);414
Rebollar;52
Recuerda;115
Rello;42
Renieblas;122
Retortillo de Soria;241
Reznos;42
Riba de Escalote (La);29
Rioseco de Soria;145
Rollamienta;45
Royo (El);335
Salduero;193
San Esteban de Gormaz;3.348
San Felices;85
San Leonardo de Yagüe;2.070
San Pedro Manrique;487
Santa Cruz de Yanguas;61
Santa María de Huerta;449
Santa María de las Hoyas;206
Serón de Nágima;260
Soliedra;40
Soria;34.088
Sotillo del Rincón;230
Suellacabras;38
Tajahuerce;47
Tajueco;122
Talveila;199
Tardelcuende;636
Taroda;81
Tejado;219
Torlengua;110
Torreblacos;37
Torrubia de Soria;95
Trévago;76
Ucero;111
Vadillo;147
Valdeavellano de Tera;256
Valdegeña;48
Valdelagua del Cerro;27
Valdemaluque;305
Valdenebro;144
Valdeprado;19
Valderrodilla;123
Valtajeros;30
Velamazán;147
Velilla de la Sierra;22
Velilla de los Ajos;45
Viana de Duero;77
Villaciervos;99
Villanueva de Gormaz;19
Villar del Ala;57
Villar del Campo;36
Villar del Río;180
Villares de Soria (Los);114
Villasayas;99
Villaseca de Arciel;44
Vinuesa;1.070
Vizmanos;41
Vozmediano;54
Yanguas;136
Yelo;63
