Aiguamúrcia;652
Albinyana;1.380
Albiol (L');175
Alcanar;7.878
Alcover;3.787
Aldover;792
Aleixar (L');717
Alfara de Carles;365
Alforja;1.269
Alió;372
Almoster;823
Altafulla;3.111
Ametlla de Mar (L');4.946
Amposta;16.372
Arbolí;139
Arboç (L');3.551
Argentera (L');148
Arnes;517
Ascó;1.707
Banyeres del Penedès;1.694
Barberà de la Conca;409
Batea;1.964
Bellmunt del Priorat;310
Bellvei;1.368
Benifallet;883
Benissanet;1.022
Bisbal de Falset (La);242
Bisbal del Penedès (La);1.943
Blancafort;379
Bonastre;319
Borges del Camp (Les);1.577
Bot;830
Botarell;624
Bràfim;573
Cabacés;339
Cabra del Camp;601
Calafell;12.219
Cambrils;19.942
Capafonts;124
Capçanes;401
Caseres;325
Castellvell del Camp;1.062
Catllar (El);2.363
Sénia (La);5.034
Colldejou;198
Conesa;116
Constantí;5.021
Corbera d'Ebre;1.056
Cornudella de Montsant;840
Creixell;1.837
Cunit;5.943
Xerta;1.225
Duesaigües;199
Espluga de Francolí (L');3.654
Falset;2.448
Fatarella (La);1.244
Febró (La);63
Figuera (La);121
Figuerola del Camp;280
Flix;4.208
Forès;68
Freginals;362
Galera (La);746
Gandesa;2.564
Garcia;512
Garidells (Els);162
Ginestar;837
Godall;721
Gratallops;232
Guiamets (Els);304
Horta de Sant Joan;1.233
Lloar (El);123
Llorac;120
Llorenç del Penedès;1.575
Margalef;129
Marçà;600
Mas de Barberans;699
Masdenverge;956
Masllorenç;409
Masó (La);275
Maspujols;464
Masroig (El);506
Milà (El);162
Miravet;788
Molar (El);289
Montblanc;6.029
Montbrió del Camp;1.459
Montferri;157
Montmell (El);408
Mont-ral;160
Mont-roig del Camp;6.683
Móra d'Ebre;4.816
Móra la Nova;2.661
Morell (El);2.308
Morera de Montsant (La);176
Nou de Gaià (La);376
Nulles;347
Palma d'Ebre (La);419
Pallaresos (Els);2.537
Passanant;183
Paüls;640
Perafort;610
Perelló (El);2.145
Piles (Les);178
Pinell de Brai (El);1.074
Pira;402
Pla de Santa Maria (El);1.651
Pobla de Mafumet (La);1.115
Pobla de Massaluca (La);442
Pobla de Montornès (La);1.336
Poboleda;335
Pont d'Armentera (El);576
Porrera;472
Pradell de la Teixeta;198
Prades;528
Prat de Comte;178
Pratdip;563
Puigpelat;597
Querol;305
Rasquera;792
Renau;61
Reus;89.179
Riba (La);732
Riba-roja d'Ebre;1.350
Riera de Gaià (La);970
Riudecanyes;694
Riudecols;997
Riudoms;5.201
Rocafort de Queralt;279
Roda de Barà;3.361
Rodonyà;420
Roquetes;6.366
Rourell (El);262
Salomó;382
Sant Carles de la Ràpita;11.194
Sant Jaume dels Domenys;1.390
Santa Bàrbara;3.257
Santa Coloma de Queralt;2.615
Santa Oliva;2.101
Pontils;148
Sarral;1.430
Savallà del Comtat;75
Secuita (La);1.131
Selva del Camp (La);4.103
Senan;31
Solivella;622
Tarragona;114.097
Tivenys;917
Tivissa;1.764
Torre de Fontaubella (La);128
Torre de l'Espanyol (La);674
Torredembarra;10.581
Torroja del Priorat;139
Tortosa;29.481
Ulldecona;5.304
Ulldemolins;495
Vallclara;117
Vallfogona de Riucorb;164
Vallmoll;1.168
Valls;20.382
Vandellòs i l'Hospitalet de l'Infant;4.343
Vendrell (El);22.543
Vespella de Gaià;205
Vilabella;788
Vilallonga del Camp;1.237
Vilanova d'Escornalbou;449
Vilanova de Prades;157
Vilaplana;526
Vila-rodona;1.034
Vila-seca;13.133
Vilaverd;354
Vilella Alta (La);128
Vilella Baixa (La);174
Vilalba dels Arcs;762
Vimbodí;1.011
Vinebre;443
Vinyols i els Arcs;1.213
Deltebre;10.250
Sant Jaume d'Enveja;3.305
Camarles;2.887
Aldea (L');3.546
Salou;13.059
Ampolla (L');1.831
