Adalia;88
Aguasal;24
Aguilar de Campos;367
Alaejos;1.614
Alcazarén;708
Aldea de San Miguel;227
Aldeamayor de San Martín;1.436
Almenara de Adaja;31
Amusquillo;173
Arroyo de la Encomienda;3.635
Ataquines;870
Bahabón;203
Barcial de la Loma;160
Barruelo del Valle;76
Becilla de Valderaduey;423
Benafarces;115
Bercero;283
Berceruelo;44
Berrueces;105
Bobadilla del Campo;408
Bocigas;139
Bocos de Duero;85
Boecillo;1.614
Bolaños de Campos;381
Brahojos de Medina;182
Bustillo de Chaves;95
Cabezón de Pisuerga;1.816
Cabezón de Valderaduey;47
Cabreros del Monte;94
Campaspero;1.452
Campillo (El);239
Camporredondo;214
Canalejas de Peñafiel;292
Canillas de Esgueva;131
Carpio;1.183
Casasola de Arión;374
Castrejón de Trabancos;260
Castrillo de Duero;199
Castrillo-Tejeriego;268
Castrobol;88
Castrodeza;251
Castromembibre;89
Castromonte;451
Castronuevo de Esgueva;321
Castronuño;1.072
Castroponce;196
Castroverde de Cerrato;266
Ceinos de Campos;275
Cervillego de la Cruz;156
Cigales;2.802
Ciguñuela;372
Cistérniga;3.780
Cogeces de Íscar;150
Cogeces del Monte;916
Corcos;270
Corrales de Duero;139
Cubillas de Santa Marta;281
Cuenca de Campos;292
Curiel de Duero;128
Encinas de Esgueva;370
Esguevillas de Esgueva;423
Fombellida;282
Fompedraza;143
Fontihoyuelo;42
Fresno el Viejo;1.267
Fuensaldaña;1.002
Fuente el Sol;303
Fuente-Olmedo;68
Gallegos de Hornija;148
Gatón de Campos;42
Geria;472
Herrín de Campos;205
Hornillos de Eresma;162
Íscar;6.145
Laguna de Duero;16.977
Langayo;462
Lomoviejo;266
Llano de Olmedo;96
Manzanillo;71
Marzales;79
Matapozuelos;1.005
Matilla de los Caños;105
Mayorga;1.671
Medina del Campo;20.047
Medina de Rioseco;4.902
Megeces;462
Melgar de Abajo;175
Melgar de Arriba;299
Mojados;2.565
Monasterio de Vega;105
Montealegre de Campos;169
Montemayor de Pililla;1.049
Moral de la Reina;226
Moraleja de las Panaderas;32
Morales de Campos;196
Mota del Marqués;448
Mucientes;617
Mudarra (La);260
Muriel;214
Nava del Rey;2.267
Nueva Villa de las Torres;407
Olivares de Duero;334
Olmedo;3.434
Olmos de Esgueva;186
Olmos de Peñafiel;85
Palazuelo de Vedija;254
Parrilla (La);632
Pedraja de Portillo (La);1.055
Pedrajas de San Esteban;3.237
Pedrosa del Rey;236
Peñafiel;5.099
Peñaflor de Hornija;454
Pesquera de Duero;535
Piña de Esgueva;406
Piñel de Abajo;216
Piñel de Arriba;149
Pollos;815
Portillo;2.512
Pozal de Gallinas;499
Pozaldez;513
Pozuelo de la Orden;79
Puras;60
Quintanilla de Arriba;226
Quintanilla del Molar;85
Quintanilla de Onésimo;1.179
Quintanilla de Trigueros;113
Rábano;249
Ramiro;81
Renedo de Esgueva;935
Roales de Campos;260
Robladillo;106
Roturas;30
Rubí de Bracamonte;333
Rueda;1.436
Saelices de Mayorga;196
Salvador de Zapardiel;199
San Cebrián de Mazote;218
San Llorente;203
San Martín de Valvení;108
San Miguel del Arroyo;795
San Miguel del Pino;231
San Pablo de la Moraleja;178
San Pedro de Latarce;649
San Pelayo;45
San Román de Hornija;434
San Salvador;49
Santa Eufemia del Arroyo;135
Santervás de Campos;166
Santibáñez de Valcorba;214
Santovenia de Pisuerga;2.278
San Vicente del Palacio;244
Sardón de Duero;629
Seca (La);1.050
Serrada;1.059
Siete Iglesias de Trabancos;611
Simancas;3.453
Tamariz de Campos;97
Tiedra;407
Tordehumos;558
Tordesillas;8.066
Torrecilla de la Abadesa;367
Torrecilla de la Orden;378
Torrecilla de la Torre;36
Torre de Esgueva;100
Torre de Peñafiel;53
Torrelobatón;576
Torrescárcela;163
Traspinedo;831
Trigueros del Valle;296
Tudela de Duero;6.353
Unión de Campos (La);306
Urones de Castroponce;151
Urueña;212
Valbuena de Duero;521
Valdearcos de la Vega;141
Valdenebro de los Valles;235
Valdestillas;1.549
Valdunquillo;228
Valoria la Buena;648
Valverde de Campos;119
Valladolid;319.129
Vega de Ruiponce;137
Vega de Valdetronco;190
Velascálvaro;194
Velilla;152
Velliza;171
Ventosa de la Cuesta;154
Viana de Cega;1.564
Viloria;380
Villabáñez;477
Villabaruz de Campos;49
Villabrágima;1.223
Villacarralón;114
Villacid de Campos;122
Villaco;131
Villafrades de Campos;114
Villafranca de Duero;373
Villafrechós;532
Villafuerte;154
Villagarcía de Campos;440
Villagómez la Nueva;98
Villalán de Campos;55
Villalar de los Comuneros;498
Villalba de la Loma;47
Villalba de los Alcores;581
Villalbarba;167
Villalón de Campos;2.101
Villamuriel de Campos;93
Villán de Tordesillas;182
Villanubla;926
Villanueva de Duero;1.006
Villanueva de la Condesa;40
Villanueva de los Caballeros;269
Villanueva de los Infantes;147
Villanueva de San Mancio;115
Villardefrades;230
Villarmentero de Esgueva;127
Villasexmir;121
Villavaquerín;220
Villavellid;73
Villaverde de Medina;582
Villavicencio de los Caballeros;326
Wamba;376
Zaratán;1.400
Zarza (La);156
